"","FIAspecies","freq","Percentage8"
"1","Acer negundo",1,1.53846153846154
"2","Acer rubrum",10,15.3846153846154
"3","Acer saccharinum",6,9.23076923076923
"4","Acer saccharum",3,4.61538461538462
"5","Fraxinus pennsylvanica",7,10.7692307692308
"6","Juglans nigra",1,1.53846153846154
"7","Morus rubra",3,4.61538461538462
"8","Populus deltoides",14,21.5384615384615
"9","Prunus serotina",6,9.23076923076923
"10","Quercus bicolor",1,1.53846153846154
"11","Quercus macrocarpa",1,1.53846153846154
"12","Quercus rubra",2,3.07692307692308
"13","Ulmus americana",9,13.8461538461538
"14","Ulmus rubra",1,1.53846153846154
