"","L3_tree1","freq","Percentage"
"1","Ash",17,0.565912117177097
"2","Basswood",11,0.366178428761651
"3","Beech",10,0.33288948069241
"4","Birch",4,0.133155792276964
"5","Black gum",5,0.166444740346205
"6","Black gum/sweet gum",2,0.066577896138482
"7","Cherry",3,0.099866844207723
"8","Elm",32,1.06524633821571
"9","Hickory",110,3.66178428761651
"10","Ironwood",2,0.066577896138482
"11","Maple",15,0.499334221038615
"12","Mulberry",1,0.033288948069241
"13","No tree",148,4.92676431424767
"14","Oak",2301,76.5978695073236
"15","Other hardwood",9,0.299600532623169
"16","Pine",1,0.033288948069241
"17","Poplar",32,1.06524633821571
"18","Poplar/tulip poplar",12,0.399467376830892
"19","Sycamore",5,0.166444740346205
"20","Tamarack",37,1.23169107856192
"21","Tulip poplar",1,0.033288948069241
"22","Walnut",2,0.066577896138482
"23","Water",223,7.42343541944074
"24","Willow",21,0.699067909454061
