"","L2_tree","freq","Percentage2"
"1","Ash",3,0.113938473224459
"2","Aspen",42,1.59513862514242
"3","Beech",10,0.379794910748196
"4","Birch",4,0.151917964299278
"5","Black Ash",6,0.227876946448918
"6","Black Gum",5,0.189897455374098
"7","Black Oak",538,20.4329661982529
"8","Black Walnu",1,0.0379794910748196
"9","Br Oak",1,0.0379794910748196
"10","Bur Oak",72,2.73452335738701
"11","Butternut",1,0.0379794910748196
"12","Cherry",3,0.113938473224459
"13","Cottonwood",2,0.0759589821496392
"14","custom",1,0.0379794910748196
"15","Double P oa",1,0.0379794910748196
"16","Elm",26,0.98746676794531
"17","Green Ash",1,0.0379794910748196
"18","Gum",2,0.0759589821496392
"19","Haw",2,0.0759589821496392
"20","Hawthorn",1,0.0379794910748196
"21","Hickory",109,4.13976452715534
"22","Ironwood",2,0.0759589821496392
"23","J. Oak",1,0.0379794910748196
"24","Jack Oak-IA",15,0.569692366122294
"25","Linden",8,0.303835928598557
"26","Linn",1,0.0379794910748196
"27","Lynn",2,0.0759589821496392
"28","Maple",14,0.531712875047474
"29","Mulberry",1,0.0379794910748196
"30","P Ash",1,0.0379794910748196
"31","P Oak",1,0.0379794910748196
"32","Pin Oak",27,1.02544625902013
"33","Pine-MN,WI,",1,0.0379794910748196
"34","Post Oak",2,0.0759589821496392
"35","Red Elm",1,0.0379794910748196
"36","Red Oak",160,6.07671857197114
"37","S Oak",1,0.0379794910748196
"38","Sassafrass",2,0.0759589821496392
"39","Spanish Oak",2,0.0759589821496392
"40","Sugar Maple",1,0.0379794910748196
"41","Swamp Ash-I",4,0.151917964299278
"42","Sycamore",5,0.189897455374098
"43","Tamarack",37,1.40524116976833
"44","White Ash",6,0.227876946448918
"45","White Elm",5,0.189897455374098
"46","White Hicko",1,0.0379794910748196
"47","White Oak",1258,47.7781997721231
"48","Willow",21,0.797569312571212
"49","Yellow Oak",222,8.43144701860995
